iter	Passed	Remaining
0	0	735
1	1	699
2	2	689
3	2	648
4	3	640
5	3	632
6	4	597
7	4	601
8	5	563
9	5	544
10	6	551
11	6	560
12	7	579
13	8	573
14	8	583
15	9	588
16	10	596
17	11	602
18	11	602
19	12	607
20	13	611
21	13	613
22	14	613
23	15	617
24	15	614
25	16	616
26	17	619
27	17	621
28	18	615
29	19	617
30	19	611
31	20	614
32	20	613
33	21	609
34	22	612
35	22	614
36	23	608
37	24	609
38	24	614
39	25	616
40	26	619
41	27	620
42	27	619
43	28	618
44	29	616
45	29	609
46	30	610
47	30	612
48	31	613
49	32	608
50	32	608
51	33	608
52	34	610
53	34	610
54	35	612
55	36	612
56	37	612
57	37	607
58	38	606
59	38	606
60	39	607
61	40	606
62	40	602
63	40	597
64	41	598
65	41	594
66	42	594
67	43	591
68	43	592
69	44	591
70	45	592
71	45	592
72	46	593
73	47	592
74	48	593
75	48	593
76	49	593
77	50	593
78	50	589
79	51	588
80	51	589
81	52	586
82	53	586
83	53	586
84	54	586
85	55	587
86	55	583
87	56	581
88	56	578
89	57	578
90	57	578
91	58	578
92	59	578
93	60	578
94	60	578
95	61	577
96	61	576
97	62	575
98	63	574
99	63	573
100	64	572
101	65	572
102	65	572
103	66	571
104	67	571
105	67	570
106	68	571
107	69	571
108	69	571
109	70	571
110	71	571
111	71	570
112	72	570
113	73	568
114	73	567
115	74	568
116	75	568
117	76	569
118	77	570
119	77	570
120	78	568
121	78	568
122	79	567
123	80	567
124	81	567
125	81	567
126	82	567
127	83	566
128	83	566
129	84	566
130	85	565
131	86	565
132	86	565
133	87	564
134	88	564
135	88	563
136	89	563
137	90	563
138	90	563
139	91	562
140	91	560
141	92	559
142	93	559
143	93	558
144	94	558
145	95	557
146	95	556
147	96	556
148	97	556
149	98	556
150	98	554
151	98	552
152	99	551
153	100	552
154	101	552
155	102	551
156	102	551
157	103	551
158	104	550
159	104	550
160	105	548
161	105	547
162	106	547
163	107	546
164	107	546
165	108	545
166	109	544
167	109	543
168	110	542
169	111	542
170	111	542
171	112	541
172	112	540
173	113	540
174	114	540
175	115	539
176	116	539
177	116	537
178	117	537
179	117	537
180	118	536
181	119	536
182	120	536
183	120	535
184	121	534
185	122	534
186	122	533
187	123	533
188	123	531
189	124	530
190	125	530
191	125	529
192	126	529
193	127	528
194	128	528
195	128	527
196	129	527
197	130	526
198	130	526
199	131	526
200	132	525
201	132	525
202	133	524
203	134	524
204	135	523
205	135	523
206	136	523
207	137	522
208	137	521
209	138	520
210	139	520
211	139	519
212	140	519
213	141	518
214	141	517
215	142	517
216	143	516
217	143	516
218	144	515
219	145	514
220	145	514
221	146	513
222	147	512
223	147	512
224	148	510
225	148	509
226	149	509
227	150	509
228	150	508
229	151	507
230	152	506
231	152	506
232	153	505
233	154	504
234	154	504
235	155	503
236	156	502
237	156	502
238	157	501
239	158	500
240	158	499
241	159	498
242	159	498
243	160	497
244	161	497
245	162	496
246	162	496
247	163	495
248	164	495
249	164	494
250	165	494
251	166	493
252	166	493
253	168	494
254	169	493
255	169	493
256	170	493
257	171	492
258	172	492
259	172	491
260	173	491
261	174	490
262	174	490
263	175	489
264	176	488
265	176	488
266	177	487
267	178	487
268	179	486
269	179	485
270	180	485
271	181	485
272	182	484
273	182	484
274	183	484
275	184	483
276	185	483
277	185	482
278	186	482
279	187	481
280	188	481
281	188	481
282	189	480
283	190	480
284	191	480
285	192	479
286	192	479
287	193	478
288	194	478
289	195	477
290	195	477
291	196	476
292	197	476
293	198	475
294	198	475
295	199	475
296	200	474
297	201	474
298	201	473
299	202	473
300	203	472
301	204	472
302	205	471
303	205	471
304	206	470
305	207	470
306	208	469
307	208	469
308	209	468
309	210	468
310	211	467
311	211	466
312	212	466
313	213	465
314	213	465
315	214	464
316	215	464
317	216	463
318	216	462
319	217	462
320	218	461
321	219	461
322	219	460
323	220	460
324	221	459
325	222	459
326	222	458
327	223	458
328	224	457
329	225	457
330	225	456
331	226	455
332	227	455
333	227	454
334	228	453
335	229	453
336	230	452
337	231	452
338	231	451
339	232	451
340	233	450
341	234	450
342	235	450
343	235	449
344	236	448
345	237	448
346	237	447
347	238	447
348	239	446
349	239	445
350	240	445
351	241	444
352	242	443
353	242	443
354	243	442
355	244	441
356	245	441
357	245	440
358	246	440
359	247	439
360	248	439
361	248	438
362	249	438
363	250	437
364	251	437
365	251	436
366	252	435
367	253	435
368	254	434
369	254	433
370	255	433
371	256	433
372	257	432
373	258	431
374	258	431
375	259	430
376	260	430
377	260	429
378	261	428
379	262	428
380	263	427
381	264	427
382	264	426
383	265	426
384	266	425
385	267	425
386	268	424
387	268	424
388	269	423
389	270	423
390	271	422
391	272	422
392	272	421
393	273	421
394	274	420
395	275	420
396	276	419
397	276	418
398	277	418
399	278	417
400	279	417
401	279	416
402	280	415
403	281	415
